1_WM989_2k,0
2_WM989_2k,0
3_WM989_2k,0
4_WM989_2k,0
5_WM989_2k,0
6_WM989_2k,0
7_WM989_4k,2
8_WM989_4k,2
9_WM989_4k,0
10_WM989_4k,0
11_WM989_4k,0
12_WM989_4k,0
13_WM989_8k,0
14_WM989_8k,0
15_WM989_8k,0
16_WM989_8k,0
17_WM989_8k,2
18_WM989_8k,2
19_WM989_16k,2
20_WM989_16k,2
21_WM989_16k,2
22_WM989_16k,2
23_WM989_16k,2
24_WM989_16k,2
25_WM46_2k,3
26_WM46_2k,3
27_WM46_2k,3
28_WM46_2k,3
29_WM46_2k,3
30_WM46_2k,3
31_WM46_4k,3
32_WM46_4k,3
33_WM46_4k,6
34_WM46_4k,6
35_WM46_4k,6
36_WM46_4k,6
37_WM46_8k,6
38_WM46_8k,6
39_WM46_8k,6
40_WM46_8k,6
41_WM46_8k,4
42_WM46_8k,4
43_WM46_16k,4
44_WM46_16k,4
45_WM46_16k,4
46_WM46_16k,4
47_WM46_16k,4
48_WM46_16k,4
49_Yumm17_2k,5
50_Yumm17_2k,5
51_Yumm17_2k,5
52_Yumm17_2k,5
53_Yumm17_2k,5
54_Yumm17_2k,5
55_Yumm17_4k,5
56_Yumm17_4k,5
